time,n54,n105,n114,n163,n188,n215,n229,n288,n296,n332,n342,n415,n429,n458,n469,n495,n506,n516,n519,n549,n613,n636,n644,n679,n722,n726,n740,n752,n769
6000,0.13848789541132334,0.0009068485137078142,0.018829298828322294,0.06314634050557544,0.005292719983607697,0.02909954119814273,0.06609754745386454,0.022816213116328754,0.055287438395765776,0.03440240822642693,0.025834020359532417,0.18316200929972837,0.03741224365015938,0.05825281042285013,0.005448200294097205,0.011054477125156836,0.005058259440374968,0.09943852726624414,0.11862498199488414,0.04231965544926908,0.06233417050800938,0.08457486441086814,0.26167336176239075,0.09974625774715662,0.007643095876431971,0.007963599980023162,0.011207696906986087,0.022199189047128698,0.017945504591750705
6300,0.147946224416323,0.0008510545103703748,0.020808409910557657,0.05902322154663153,0.012169524091987682,0.02992453801788031,0.06763337837428196,0.02284664069618003,0.0545741252079992,0.03542762995328985,0.03001811517889763,0.18756099664811643,0.04225401022542741,0.05197082663460861,0.005330558243599626,0.011281775607763223,0.005202129996604299,0.10297231064822654,0.12230198443281637,0.04336810267533053,0.06710898857400593,0.09089949080197357,0.25592602209898274,0.10321606291199004,0.007448924899065901,0.007134028813254645,0.010957763109047391,0.022057868645518397,0.018101113555566428
6600,0.13616551633563745,0.0006002772892941266,0.021933655527057283,0.0653345543293824,0.005045565414377506,0.03269062495090935,0.0754877133719134,0.024083731955123255,0.05729459595374209,0.03467473483299699,0.034471436322554894,0.18340397597383173,0.035027597145216305,0.0502681131985554,0.004996922139589799,0.010727278421782671,0.005692610643471596,0.10983073085029105,0.1278360286821112,0.050423485498306775,0.06341140678158297,0.09289339703456534,0.25146052115009354,0.10822232636709828,0.007918606673868567,0.008548203479833205,0.011431929441755528,0.022941464034772707,0.019217951156221602
6900,0.1525750141756319,0.0005813079825571776,0.027699359835104076,0.08645613352958748,0.0036099392435886557,0.04074958168257581,0.09550800372775115,0.030177013145689102,0.07206263424532011,0.04193321357521285,0.0446573466887088,0.2200341465361788,0.03476040046826512,0.06194574163448152,0.005907894762025023,0.012779128555713726,0.007267119282325041,0.1383545664755701,0.15852308416504712,0.0671939132110495,0.07291640442988268,0.11075824692666458,0.3068079028956987,0.13436733053982408,0.01004307518904568,0.011692663812766568,0.014309405176589962,0.02868416962252951,0.0241084672538463
7200,0.15081240891390024,0.0010766971136675352,0.016321825798598866,0.0506317569235577,0.016569810057980305,0.025219163630943342,0.054768489244104046,0.019606994419113732,0.04753775147501216,0.03287548124180972,0.01970015530483238,0.17654687615387132,0.04789488604590986,0.052847175347103814,0.0053237830795893615,0.010842916887099818,0.004188845120708606,0.08537207708582173,0.10819296010343749,0.030592827972192538,0.06344807572794053,0.08193096976651049,0.2433216233825135,0.08610297830393421,0.006383313992856188,0.005050264209330635,0.009690238610978952,0.01929648218284541,0.01536467757667026
7500,0.11679316860370648,0.00018741526533716524,0.0282186877579349,0.06613467554978314,0.0016223283120808674,0.03710860565811913,0.0894823007567922,0.025793235838939665,0.06078406216372656,0.03504053093877246,0.04160284310529505,0.18098752803564366,0.02293520010032779,0.0375040138438294,0.004378639604453838,0.010332502157737622,0.006565151654179147,0.12628659644160223,0.1350363187153718,0.06141203635196746,0.06197271495699397,0.09781707211379853,0.23300378112211462,0.12257660580757346,0.00847181880315162,0.010643616202628436,0.01187166951564933,0.023807330254477677,0.02093632469605211
7800,0.04685509944093269,0.0003157527661983295,0.003917947433123459,0.021135491381961913,0.0026811378250783946,0.009634662893020618,0.021034605690758212,0.007319119700746057,0.017769540431501696,0.010277967108258679,0.007530716331324072,0.058195941949328756,0.013431171805933673,0.022910404090517034,0.0017978403649507868,0.0033409930805063937,0.0015212507755677507,0.02876072820836839,0.04108170340771977,0.012227248766208731,0.019851532180467757,0.027515293383196138,0.08738758503251631,0.031034800283521236,0.0024481082486644823,0.002406664292301741,0.003613699733172382,0.00719505794990738,0.005721489205541275
8100,0.016301478237899403,5.9013004054975227e-05,0.009496740521875324,0.01982393378900582,0.0066544507383312634,0.009579552841735506,0.025308172297215492,0.007079237101876856,0.016650638745993263,0.008846649854532984,0.011215000071523207,0.04096612300186564,0.0014769069325240025,0.00661018794376389,0.0009667861504283337,0.0024855071184290978,0.0019135381886812297,0.03710612483367015,0.02836612241729597,0.01955851812275,0.012240038106334339,0.021495181968390398,0.0559995248652001,0.03109301187555502,0.0024696125524172885,0.003884333887668845,0.0033576154864221053,0.006544575815148335,0.005639926415511809
8400,0.03643763940898026,0.00010897456400016381,0.008630808164234338,0.020291352817146446,0.0003910240902840201,0.011874683185688184,0.028626275561187242,0.008176620236689303,0.01976712758916932,0.011324482565740368,0.010555751522353773,0.05901710041852226,0.0067155046433668986,0.012558356445104835,0.001499876979785597,0.0034180780627721674,0.002038365453501001,0.03965520155055202,0.04194075019493937,0.018260688808481973,0.01923112906994362,0.03012621404427307,0.07621271187502998,0.039821759192435024,0.002752903238366855,0.0037023189721665517,0.003888509620665559,0.007491524378281156,0.006628225600771032
8700,0.02672767418334132,5.698775943585588e-06,0.00970716205615929,0.024086642062435715,0.005001519826706158,0.01240219152425226,0.031344021024970914,0.008476910649001468,0.020237422454407294,0.01049063514202686,0.010889262665109811,0.053568756754032165,0.0016719527216579877,0.01250330053995441,0.0013169893362459106,0.003030848661865093,0.002168118906766381,0.042032101674735145,0.04113337569996389,0.02050571923595612,0.015634739709533108,0.028629921574726325,0.07115779281173928,0.03888188074333243,0.0029060084594192404,0.004282147442381756,0.003993879150058888,0.007764962971364753,0.006879227037181579
9000,0.04909283161411082,0.0006166716525655147,0.00016761308553725485,0.00827969443803056,0.009355406105335362,0.002286697722297504,0.0022089236837459225,0.0032035524377391766,0.0082112798753613,0.007592105824294038,0.0030963380643171945,0.043561872157056314,0.01999730194312832,0.02164285665980259,0.0017949500502680849,0.002969179948095757,0.0002451490044066418,0.007671511665023445,0.01724886688423055,0.0028616018866216564,0.017030693909205752,0.014617321092970315,0.07028207970416389,0.009772782049751072,0.0010603061628557953,0.00036323998849496775,0.0019301716278263825,0.0038162694521446383,0.0021509531362866596
9300,0.029411170515764695,0.0001600264666876683,0.005268381795467292,0.014571164791341573,0.0006545665682651247,0.0073502920331876,0.017279827776114587,0.0055994379114352455,0.013542878406767045,0.008207740722191659,0.006792564315141192,0.042466527678776345,0.006920370234631434,0.011514785176743203,0.0012083568033247616,0.002575574545161885,0.0013148269590672612,0.0256860865953783,0.02748441885188413,0.011535234163282837,0.01444944564742201,0.020019059594815758,0.05976708204296699,0.02507569054149883,0.001899226011978783,0.0022626434028865106,0.0027489971108280997,0.005371143546078372,0.004390795377510415
9600,0.02689636117148808,0.00021910052149110015,0.0034391810588587646,0.010694655326709324,0.0024526357073639815,0.005652741341876322,0.012986522460039396,0.00450228385047069,0.011036919478101481,0.006780981757373183,0.003171301009125216,0.035943010964587074,0.007237519335077991,0.01166559971554193,0.0011581971111951361,0.0022446830657614214,0.000944810110397043,0.019058695974528916,0.020340396623701906,0.007163338826266852,0.012630657924688649,0.015685006109904975,0.053463934683030345,0.019081633963409672,0.0015670502247928653,0.001807377193870252,0.0023372561901382483,0.004419406891621236,0.003433246376978616
9900,0.02903570180404813,6.353811289727673e-05,0.007221822576347847,0.014091964508295973,0.0016173872951696922,0.008590758193967929,0.020565110724156455,0.006291859239951236,0.01502283968493856,0.009240493437772557,0.011058211144060692,0.046253747543097745,0.005625029687330141,0.007353901888450309,0.0011153104245025247,0.002763119704056294,0.0016366974266688317,0.031443669985478095,0.031536027487163665,0.015694001731979768,0.01664984731242214,0.023247901562065465,0.058664474405709655,0.03176877184534277,0.002079709465633073,0.0027124095286694683,0.002928627681022533,0.005779964015914629,0.005088916578436908
10200,0.028001496619538102,4.0147910958410193e-05,0.009329829188047256,0.021994253048958967,0.003011394627172592,0.012293675023386186,0.030571079819715408,0.008108124058360033,0.01916383228460461,0.01007422587590412,0.012502283689528326,0.05182522316182059,0.002879033238208706,0.009920468171586094,0.0011665152992179628,0.0028501075715112734,0.0021325903386539835,0.04076995446688869,0.04161367442524977,0.020430243901422784,0.0160329481229482,0.029437865701801513,0.06546680371875624,0.03859456127887029,0.002711419250658764,0.003877611473541265,0.0037178802352570983,0.00732543652543427,0.006651004593912546
10500,0.02192699010304011,0.00012788356634274578,0.004317656254336555,0.010342270834030387,0.000968944543565442,0.005443953441044869,0.012890541343388406,0.004318901220507598,0.010446388022593567,0.00648147690590406,0.005609176227828527,0.03309532937206683,0.004854000465350339,0.008204691683246779,0.0009375941271585475,0.0020419005477805285,0.001016848418096572,0.02005519835955738,0.020308373118382406,0.00910388499492143,0.011553344492135409,0.015019515417563412,0.045593197433014154,0.02039428496574658,0.0014642649561338317,0.001819746045782722,0.0021062216428688885,0.004101869740580355,0.0034155514727132186
10800,0.01955507386660571,4.2979002060405946e-05,0.00939473214133102,0.018474867497189962,0.0036289937087090607,0.010334194155035448,0.026665201299934438,0.007127304657281286,0.016882299120062783,0.009059768134200397,0.010566117031160616,0.044298295497078755,0.00013557584273371504,0.007003420891727785,0.0010060687548261171,0.002569496932771642,0.0019092024042706157,0.03727479770213904,0.033109900585174046,0.018651918212214014,0.01364496892009015,0.02377638703870133,0.05574635485898227,0.034343416333243226,0.002430581306633428,0.003742203551460932,0.003301432352131428,0.006448198216695289,0.005806060307662619
11100,0.01908576356098024,1.933432189815676e-05,0.005779290569726925,0.010572863016193423,0.0008541406465170098,0.007476056736621217,0.018415282550748202,0.004857200156074271,0.011760604258689966,0.006648739910097845,0.006230388513124296,0.03398559074354779,0.0026891217050462046,0.004825977961324668,0.0007975139368241457,0.0019617430468557018,0.0012702907715720357,0.02487718478595724,0.02450618606321342,0.011364443751418207,0.01124375593333582,0.018014897361439353,0.04140439572347532,0.024636253943086217,0.0016432697889428027,0.002410527388512662,0.0023013662173667626,0.004350243110742724,0.003948293328889463
11400,0.015260895980290456,2.7130838795130785e-05,0.00515374797981849,0.01027535672935187,0.0008588620929188551,0.00561922228207834,0.014186418184955585,0.004170619017813237,0.009865275667614526,0.00570807179692423,0.006254467705218758,0.027721822389409567,0.0018894195084513399,0.004946950772676928,0.0007003732323269674,0.0016896866744104955,0.0010754732898092811,0.021114277682755755,0.01818289243058757,0.01031158142373556,0.009378412210246267,0.014032961829670398,0.03695778070157729,0.01915296699966973,0.0014234838545874595,0.002013836471874697,0.0019868017029409657,0.0038771674110194,0.0033213882171878595
11700,0.018213524295710215,1.5311129189399253e-05,0.006280584618345131,0.014654730198763843,0.0027378211433060073,0.007718808070649175,0.019231687984124335,0.0054713814946225625,0.013016110056334185,0.007059319731574476,0.009171505301296179,0.03505447787610905,0.0015420674070227847,0.006422918475884387,0.0008164271940458434,0.0020204347485233143,0.001446769576347151,0.027421035651926218,0.02610516312631006,0.01442383915722445,0.011085566531612301,0.018551444619561153,0.04628644107643254,0.02579318640439965,0.0018573608529095509,0.0027153346251793664,0.002553457227584488,0.005004784632156145,0.004427197978252195
12000,0.018806812592643496,2.9345517340573224e-05,0.00679194831968033,0.013543135962429176,0.0013303498484447118,0.00786261465015059,0.019916111733103037,0.005372502515818667,0.012883174682897902,0.007218569697862165,0.006462382223240581,0.03620231579438382,0.0018651235039541803,0.006558070477289846,0.0008904353863172787,0.0021314397971892163,0.00138451086538538,0.027576860647968715,0.025613435942709373,0.012611048436980354,0.011255851882133072,0.01874533641525744,0.04566067859030909,0.025809290049480182,0.0018326981952299093,0.002676882811513792,0.0025426825870624725,0.004893799238764984,0.004356007726919131
12300,0.023772632515481007,0.00012190510349086026,0.006108102844855523,0.013429894413704346,0.00017378049454919164,0.007035817722190529,0.017429183490875744,0.0051662553643865294,0.012398296153001809,0.007503826415813819,0.005276440838429153,0.03795623015374616,0.00466903094014981,0.009070219668387836,0.0010528902520690053,0.002327011200151219,0.001245612543414154,0.02537125798155415,0.02435528749154514,0.010674119616162159,0.012355610878962864,0.018358849118264686,0.050765715425072244,0.0233987609054509,0.0017571578298642976,0.002229637678581753,0.002508972812940158,0.004892326614424292,0.004091592080207818
12600,0.023542973191240435,2.9909009782613794e-05,0.006968998327671727,0.016866483549350164,0.0019802771687551513,0.008936462963454517,0.021764564446357326,0.006308261190916653,0.014814357933651934,0.008151876081690546,0.012371800990266024,0.04133035217488157,0.0030633647552775756,0.0076123527169187355,0.0009128543260104038,0.0023072827980499255,0.0016769978853545808,0.03126093140777897,0.0325787728195337,0.017067717631100265,0.013765741508485974,0.0227266799660768,0.05301756114483425,0.030808070340619054,0.0020761038025725043,0.0028429309917186174,0.0028392334673057462,0.005738472986905663,0.00517926198893548
12900,0.034734246384459766,0.00024204438619079838,0.003635887791297421,0.013471962763077272,0.0029423298291177957,0.006682177589368621,0.01470617386119244,0.005028119752530813,0.012275813640314936,0.007785208716725833,0.004671788589320158,0.042687491076328854,0.010352837248753133,0.014026126140144868,0.001292950697987294,0.0025485208115014757,0.0010718233221425066,0.021221411555529812,0.027747240646242233,0.00810002182763725,0.014736499293945826,0.019955574228021078,0.060435713432966054,0.02215007572455363,0.0016697728001062728,0.0015668208384340687,0.0024983565180320966,0.004909292981736257,0.003941204605652615
13200,0.015437612276969048,3.3486050625697317e-06,0.007411943744187965,0.016664258228665574,0.003960962934385748,0.008991452821554446,0.023439179977849278,0.005934608985626255,0.014213544965045344,0.007110089899434513,0.005316519641183959,0.036150019183999405,0.0004566753322592376,0.00846118511611138,0.0009140855349585308,0.0020594927625907644,0.001504779640818299,0.030134249146250625,0.02738115865999191,0.013535900890111918,0.009785932517942797,0.019406038987469287,0.04738055988854484,0.026894673433865535,0.0020729216527897165,0.003240143385966121,0.0028395341482365666,0.005411614565424827,0.004799102816349432
13500,0.024799269153049863,0.00017629306279332013,0.002222803300192311,0.008174994856148032,0.003008360386239417,0.004132524228424472,0.008637599393289008,0.0034443923956644085,0.008428167365565287,0.0056093738282214645,0.004681168669371516,0.030301506689767166,0.007500723403964571,0.0093951056473216,0.0009093349470816747,0.0018435614402179112,0.0007375559400273346,0.014118565288455898,0.018913175420195216,0.006137228600508138,0.01133480690935329,0.013261982937770256,0.04328838145252689,0.01626980586700455,0.0011316169865125403,0.0010324230202272133,0.0016935559407826872,0.0033794562770452785,0.0026889090849593345
13800,0.02223406203631839,3.6225683771817785e-05,0.007678153211557515,0.01711860994349479,0.0019105927955678226,0.010014909733435218,0.024846723569524443,0.006856298612241574,0.01631733206770747,0.00862783080299323,0.011406986666138152,0.04360572906584537,0.0016335666278806116,0.007551476132633184,0.0009856943555917042,0.002450578753915522,0.0018165000249155128,0.03425017169762867,0.03369249274066277,0.017945845285531448,0.014185198352393513,0.02364241841186754,0.05626932538185514,0.03348112857747765,0.002319177171088427,0.0034762412746758287,0.003176548487402897,0.00619041669705922,0.005585129737134764
14100,0.0029831287404178397,0.00012532409427734592,0.006291326892046811,0.010325583926238835,0.004644598009996059,0.005925318764163023,0.016200203172211047,0.004130718403146716,0.009727885569390082,0.0047812063495698,0.007599835870706784,0.020933867768306413,0.004221766971589602,0.0003338363980134318,0.0003731386762240163,0.0012361246315322205,0.0012139029504254495,0.02320710641064494,0.01586143512277971,0.013103946578084447,0.00598967321745647,0.01167504778813111,0.02581032475077194,0.020099805778485802,0.0014549780113668476,0.002687983935857119,0.0019036719012746062,0.003637867811164597,0.0033646771509836526
14400,0.028998866268430845,0.00025979120869124017,0.0015307153612624802,0.006060395995817203,0.005841659416759626,0.003305448524841381,0.00631757735949634,0.002688827837751262,0.006552202202030344,0.005139089376065442,0.001265884674381823,0.02911048948192274,0.01070462503150793,0.010298247874139577,0.0009634846968751276,0.0018093613688350274,0.0004630919513672893,0.010212630020951963,0.016523095063966764,0.0018645078809740312,0.01132212337009264,0.012920512238984827,0.040380969253206445,0.011805340870296277,0.000840132278966621,0.00023256903877921786,0.0013661325130200908,0.002761233908032068,0.00206507081899332
14700,0.014200354608924215,5.201487660144721e-05,0.0031089384461893133,0.007819869439138927,7.95847075849565e-05,0.004213519689542977,0.010049565921910641,0.0031348208746990736,0.0075819755086996565,0.004436671100656042,0.004534098311395951,0.022626286278629948,0.0027113457089953386,0.005108029656121005,0.0005983919171086427,0.0013515915573876214,0.0007754098447634306,0.014836084204858935,0.015189078991852512,0.0072503967623660515,0.007633497917630905,0.010918494368894471,0.030949494133906796,0.01479526719137425,0.001065455273149496,0.0014144425850872722,0.001513204257243217,0.0029325436491802748,0.0024934890508063745
15000,0.0204928175473853,0.00010827729055762347,0.003720933644466129,0.009901118733516512,0.0004397748708200311,0.004793127897961824,0.011210029659871168,0.003720902057509079,0.008947925619487762,0.005636505806442926,0.005071826489988496,0.028945169197811538,0.005032516106709295,0.007544314539487118,0.0008069324041741766,0.0017641599008015874,0.000884271889752597,0.017348757927784675,0.018801489171984542,0.007886338702263629,0.009957633592520665,0.013679342980324805,0.03989863346222933,0.01689505619742704,0.0012415954755269354,0.0013891848168441356,0.001795325965616712,0.003574484891338159,0.0029393804905168963
