time,n54,n105,n114,n163,n188,n215,n229,n288,n296,n332,n342,n410,n415,n429,n458,n469,n495,n506,n516,n519,n549,n613,n636,n644,n679,n722,n726,n740,n752,n769,Flow_p227,Flow_p235
3000,0.16259953013155837,0.0041729488783772695,0.044219164382404585,0.1588155791932664,0.17899307285893684,0.01622864625731779,0.0514956944130347,0.010005072387954783,0.04124560275953826,0.03384349876483839,0.15098289519352903,1.5542087495095167,0.2656822529345604,0.02363651311186743,0.021612459300563103,0.01086685865691095,0.012521513361647862,0.010145698548029713,0.13476533067827745,0.13017229111898843,0.12936665849780127,0.16169789729782025,0.07892281389837308,0.21509116478794255,0.20345492970790247,0.0025824606995783483,0.004112110830241988,0.005926125502973889,0.010537393542932705,0.008039792021072856,1.6068702114241908,3.1175458320963014
3300,0.01530420203316396,0.0015313715174940512,0.08570410760480485,0.09112633722168795,0.18627759810200217,0.02023878556664016,0.040755067547884494,0.025153925694432644,0.07796358793087421,0.025923529819330327,0.11446338360206454,2.9570280394469393,0.25165549984642155,0.05678333928845092,0.034609226300709395,0.009772763968165066,0.009023944211499213,0.01639622036778121,0.2637337574226919,0.2559544160282101,0.16526735040920926,0.1495450736496693,0.1458452841354969,0.07144410033468773,0.28902001992470616,0.008438673380894102,0.02052776844733728,0.013558494691757517,0.027705247073861017,0.021413825752915727,2.920473688031174,3.523643505207639
3600,0.13015920338295928,0.0032312292273459775,0.05304621410124355,0.1404806359202695,0.17032118373101923,0.008674591044432134,0.032844079817003546,0.012742781829004457,0.04754851975015839,0.032186227892978536,0.15075095689138607,1.6705755467429917,0.2567023561294448,0.010082850522415754,0.017890742550079608,0.00998225635058958,0.011664359722679762,0.01184803110204058,0.16360192363652715,0.151077706649005,0.1451061398319382,0.15524964532420427,0.09173466470979719,0.18911055215537687,0.21540042079096366,0.0036627996470102175,0.006952047755987678,0.00730675025864258,0.013977961445029052,0.010433533081794621,1.7530032219682987,3.102016231207032
3900,0.10815832001782155,0.00272986768757022,0.04915530322939077,0.12171248507839039,0.16614981651382976,0.0032481058225926063,0.020106292934741532,0.01378393095248498,0.04827495867000664,0.0285379907085499,0.14066374749963728,1.7675755781920017,0.23925752924979093,0.002422650532082571,0.004832762670190505,0.009204512530146758,0.01027374549374116,0.011519909149924956,0.16034323825893892,0.17266018716591702,0.13726171632944073,0.14578184751614032,0.10099753168238124,0.15905799962651912,0.2127633634372117,0.003970210962400245,0.007778613431455028,0.007442509942698905,0.015131699232846074,0.01152521541453666,1.6634849352209582,2.7692621783187863
4200,0.04627986187152544,0.0015720546012332193,0.06325018310515418,0.10144735531585525,0.14877435317809784,0.0042622646418095655,0.0020042557557715668,0.016238568421023558,0.053543799488181776,0.025437754066288676,0.12818525422158444,1.9211905654678532,0.21589770849775647,0.020795326753393795,0.001423722275028183,0.007780339451542773,0.008897189578313203,0.012936136829765132,0.19147436253562944,0.17221679084344999,0.14888947531946428,0.13124700584944549,0.10038414522292527,0.10831956834984169,0.21978292014014755,0.005134461414755265,0.011779643019941943,0.00872615182393588,0.017825748282611187,0.01368347975848394,1.9655737969307054,2.8521879981287652
4500,0.14480728767976814,0.003232596889240824,0.027980108062024556,0.1237923652994084,0.13634914460492809,0.014625123863758915,0.046450782430589754,0.006748325910585606,0.029073336659536153,0.026453989007890755,0.12636932057795036,1.043680463188693,0.20492585515485473,0.026678287376817877,0.02079667298179544,0.008229317770400257,0.009766643427148836,0.0075511854305858606,0.09265836517879222,0.10062692710325649,0.10172527729633885,0.12569694012671562,0.06025491670094141,0.1812792549391702,0.15038041296172366,0.0015344834564743337,0.0015326474667816115,0.0039516815948204,0.007355046178020075,0.005339636868320952,1.0256533445350666,2.2415611931963086
4800,0.08140632658773939,0.0024309964113129467,0.04591780973814252,0.1100700404715198,0.14692908078963285,0.0033355010912075045,0.017175511064138504,0.012311613437809399,0.043140064699557,0.02494286714731686,0.12026529701043387,1.636286827131542,0.20879130063718776,0.003311275843586259,0.0029696751297194623,0.008143956208911618,0.009008200561709145,0.010113559608100786,0.14358460660940864,0.14376824072029848,0.1206162122484713,0.1280274051252448,0.08260902881028898,0.1317805109524528,0.19004148456377834,0.0036438846707582684,0.007720757351080465,0.0066923828696303644,0.013291189409159188,0.010275119396240484,1.5813646766665395,2.543299068182916
5100,0.061786770664390644,0.0017168627091379562,0.042842764661692456,0.08760132073404492,0.11746134887444981,0.0005852751371193676,0.009213128266623016,0.011058324960153243,0.038518171948553004,0.021142003637450557,0.10215087175850357,1.3510634126478642,0.17531494295123196,0.0056656319748285,0.005765404151929943,0.0065581981157762925,0.007530284577235591,0.009310790121659807,0.1333678173106705,0.12564687547983056,0.10957166572029564,0.10533108533275737,0.0726288696961177,0.10819926230548305,0.16410454038047817,0.003394873503900442,0.007363212082999837,0.006116087794303837,0.012053083011771548,0.009262183601251195,1.3676356825268323,2.173523000997678
5400,0.0779937435810183,0.002080141891610765,0.03837310438218111,0.08688555180873436,0.11239943577395906,0.0033972783198095158,0.015939483671211008,0.009610893201795534,0.034714763253262504,0.021288469536635546,0.09681973541663069,1.188344404831998,0.17258371566055075,0.0023222786834438125,0.007572986975205254,0.006803114197523996,0.0076906722732417165,0.00836654607914511,0.11880975523639137,0.10975700744032935,0.09900616051016442,0.10284856441440127,0.06552957155000172,0.1237634117591071,0.1486342703404091,0.002904972523857907,0.005707726136755298,0.005564996244309839,0.010874651642268418,0.007871240810004565,1.304865489656131,2.159820820899575
5700,0.05836816769993902,0.0016721407346835804,0.04548001812177915,0.08879389179251262,0.1213401559224252,0.00011533595501589389,0.008067383639605907,0.01196465669382718,0.04111201384445451,0.021814748407287254,0.10818592246422298,1.4426205718764997,0.18114056627016595,0.008435352569968302,0.004692075407170648,0.006746400911957551,0.0077360594900852675,0.009946725585933791,0.14226697449022652,0.1316495488154601,0.11790447798669135,0.10948229368431583,0.07557840233515378,0.1103371469918244,0.17258530130327898,0.0037192496945763764,0.008155161351446338,0.006606513241010248,0.013217159506197618,0.00998654802461374,1.4657879570749432,2.2843947860304463
6000,0.062477284556180734,0.0023046069311547512,0.03647115197328077,0.08559276764157886,0.12140313536095704,0.0018234346287968606,0.011534417099987593,0.010569283535936336,0.03691765448834161,0.020058337480733712,0.08753825611164245,1.4259155179064962,0.1726976780460845,0.005019466644860415,0.005546231191608797,0.0072442709216318235,0.007352026945582679,0.007914030014809725,0.11590593535852634,0.11943769822644867,0.09002189030165653,0.10407967879494606,0.06771189929136767,0.1100019246235604,0.15523585867452994,0.0032517129899929387,0.006941798270133859,0.00597064898016697,0.011620469697604108,0.008762278948431401,1.4078112934171738,2.1481330939449426
6300,0.08524468810102093,0.0023059817292008233,0.03610638660292409,0.09696277266144904,0.12196421161291937,0.005376919700204041,0.021140429041146547,0.009221896810977626,0.03378393013845482,0.021883712992107007,0.10230329727075116,1.2468698647986471,0.17850431737947048,0.004476567105619722,0.007526599503187015,0.007061032310204496,0.007961664138818492,0.008080156257598503,0.11257521400553117,0.11072965812842028,0.09794628273620987,0.10850380795955772,0.06534699856923964,0.125826596591736,0.15263931051266866,0.002652133404659196,0.005204958357275302,0.00517094779195304,0.0099992913395468,0.00761324123342888,1.2453891274980842,2.137854313827398
6600,0.051991357372543234,0.0019990090564121488,0.0397933812620721,0.07988958327933204,0.12277018029757869,0.001531642813162648,0.003574903041140942,0.011696038101582928,0.03921375650656955,0.019309088472304836,0.0864676067924961,1.5173238451188382,0.17073558617540385,0.009808890207672505,0.00879960061845253,0.0069809296065272974,0.00699842810455209,0.008454130054069253,0.12638878643709717,0.13223353165378882,0.09312267806493679,0.10313195562679311,0.0767838877559015,0.09621976238813801,0.16100672324745346,0.0036228329494250033,0.007877090269509779,0.006422537643153703,0.012869357810558313,0.009796327697365825,1.4638635854611286,2.1269413670078583
6900,0.051857195220122776,0.0022234437662262962,0.04895452692338864,0.08510077664904259,0.14081425944176118,0.003953292584256474,0.0011404810484521022,0.014850031808869346,0.049073432867487554,0.022442913985692314,0.10013251240680177,1.8450257201979348,0.2011616033056285,0.016003255574503328,0.014855640427484218,0.008272300449569059,0.008092913564468063,0.010439021993292386,0.15732612344508112,0.16543170086639947,0.11373512104384531,0.11990984281894157,0.0935415992844355,0.11204530801374091,0.19384425006794714,0.004716954327761869,0.010294524488884349,0.008209762937894993,0.0167486138427293,0.012423160709005288,1.8377113889760734,2.570733934851621
7200,0.10803617074366656,0.00242987673365036,0.02833298119788452,0.10032396504949048,0.10928632091803081,0.010483125178801345,0.03382829691130951,0.006246828581772945,0.026165089503670913,0.021990530561566857,0.1036305949031302,0.8981054906374517,0.1691267803263372,0.017098102983197805,0.01924258407601087,0.006604581383029995,0.008046676820676169,0.006898512543990876,0.08868982633531886,0.08368034149201975,0.09039772667408386,0.10244558360964362,0.050404703016489805,0.14232960576759268,0.12958088532710121,0.001596181616584147,0.002379906965032319,0.0037105913361443754,0.0066858726386982426,0.005020170548171166,0.9374008184366234,1.9370698007448521
7500,0.034251255967006955,0.001597541364759536,0.04562671731082446,0.07498492667271961,0.1226833729772352,0.0052533658925213444,0.005928472753254255,0.01299772722389747,0.04219329943220629,0.018567380542300782,0.08435557406525618,1.6118677361768654,0.1678075255898861,0.017388483528584686,0.010772911945913677,0.006606084116171473,0.006625748348724869,0.009206036994356737,0.14139928975578187,0.14363815430319704,0.09851948513822606,0.10130166937240404,0.08363021439249962,0.07858545140059903,0.16938420192969517,0.0041095751564199645,0.009337554731033038,0.006993318991263209,0.014224012235963812,0.010997461035401557,1.5677465886395237,2.153472616590992
7800,0.006061534720181783,0.0006953673292073859,0.011163662155553311,0.017915122641049663,0.03961368275951571,0.00281083235340418,0.004724514264310642,0.004415549154266785,0.013863477630522425,0.0047888654972254585,0.01674239442771608,0.5746905948761594,0.050112895678807945,0.007395087635210018,0.012062255412502054,0.0023796662219766063,0.0017901558704096487,0.00235977900067752,0.038785895440938134,0.04917789877105605,0.02127558792453499,0.02980003317155422,0.02709148636619574,0.022405453568730138,0.05072827555267878,0.00144958156366215,0.0032570555418942604,0.0024490210655585543,0.005024196657451796,0.0036995338294047997,0.527400665197123,0.6315652203986843
8100,0.0016776019624984428,0.0003141832559663271,0.014176591264515537,0.01637130684228083,0.0299454144592346,0.00224531036979414,0.00455363516151408,0.0038759838074469144,0.012146978990564605,0.004445332101767008,0.01945521156908825,0.47425423854496884,0.04101719028633255,0.00876210075208661,0.004659730724448252,0.0016476643442899785,0.0015664406122866126,0.0025885614510272603,0.041684916387502824,0.035357777122911216,0.027102961116042934,0.024802822064415864,0.020831941070277082,0.013697930610447884,0.04546914159550397,0.0013090325366960087,0.0032022522977612766,0.002130860724463446,0.0043083534504546606,0.003251284682171729,0.49831185416215196,0.6177705850824117
8400,0.008961687640791638,0.0005886146152320748,0.01502095179898788,0.026980254956576744,0.04251876639555263,0.0017028179977742752,0.002009337333014116,0.004326029797773856,0.014239011200714913,0.0061444884012686884,0.02610145140062059,0.5691309626645342,0.05642331795971245,0.006889643202711682,0.004347807748807497,0.0022798195577706792,0.0022175874378476124,0.002975932557134797,0.04636287867816691,0.046861619498287155,0.031154271308530213,0.03406403698593152,0.026834484679440607,0.02402293898278174,0.05774163991677028,0.0013872242749783936,0.0033329614517967343,0.0023541047673631965,0.004536688126769661,0.0036778248245639134,0.534013279801956,0.7256748113030059
8700,0.01089246278449707,0.0004256188238400682,0.017052052746571178,0.015067226413492563,0.040148520095485196,0.005374747089298637,0.01182115140204587,0.005519431641900496,0.016574706409933526,0.004403094868443702,0.014752005513990696,0.6939328435357481,0.049097085728462275,0.014829845375764705,0.013888474123653793,0.0021777237496252155,0.001580254870738429,0.0029974947834006116,0.05225080451045727,0.05530300780527142,0.02613010078589184,0.029081029312024498,0.031226796544693514,0.006570849089214903,0.05878554004394232,0.0018798109465194557,0.004671448114521581,0.002964816693392436,0.0060432437208390866,0.0047172620613125105,0.6661121635227683,0.718593360169819
9000,0.038498438011984604,0.0009415725478234549,0.003123247045515143,0.030873186933163765,0.028701054900224676,0.005577321844910443,0.015598743681628946,0.0004785422559692165,0.003929830465345674,0.005932941679809289,0.025550918619579477,0.15822034218539827,0.04346199131945383,0.00944847529621029,0.006316274555160817,0.0019350527666901485,0.002266243779310173,0.0010290540850874663,0.010120110686990813,0.009344796345629902,0.016485115829723895,0.026916944173329682,0.006164457176964788,0.046374665969565854,0.02576848859735037,2.0861278713368847e-06,0.0004789965784226524,0.00043759891614314483,0.0004677701559003822,0.00025262605780085323,0.174665220237368,0.4786597381771096
9300,0.015013117569694145,0.000496490144982431,0.009043998721274704,0.02090503651994169,0.027886157534013023,0.0005490718814087359,0.0030057427580203466,0.002447471913463062,0.0086563613819024,0.004866169591267067,0.021974554488188858,0.31829286635638,0.04063232840375264,0.0009779017338615859,0.0002963453398905358,0.001640619181863201,0.0017662417085375637,0.001971051902089016,0.02837596747735205,0.02674290033000659,0.023009945295981993,0.02454304436382415,0.015426038904436723,0.02668094175730573,0.036712730381800895,0.0007589462049395479,0.0016318738889182782,0.0014028201173417187,0.002704149392414479,0.002011334385834118,0.32800462332815217,0.5147662446192413
9600,0.010171711086051971,0.0004937791514265655,0.007303979537923055,0.01775616130861124,0.025567873829110965,5.3327401047909007e-05,0.0013923245797968775,0.0022443889384220483,0.0077114928725592335,0.003854240761356209,0.015221023647050913,0.3081033317855635,0.034126602808001394,0.0019816736822093617,0.002273052147927501,0.0015168448736915252,0.0014318196377089976,0.0015291649518189843,0.02332803778715231,0.0226366915866123,0.016338016844031245,0.020804055428286006,0.0134401847089336,0.020529920591009443,0.03141565961671944,0.0007218335522125585,0.001626945971082705,0.0013147925050063236,0.002466013134771572,0.0018356163269359627,0.30281674799162794,0.43669843112704043
9900,0.019264655116394636,0.000486637748991825,0.01111061881253761,0.02886416026058214,0.03315823324097522,0.0015158178657301846,0.005663597377143503,0.0025085707799874513,0.009267973251596118,0.006019722910814096,0.030492158121802504,0.34373618868305655,0.047738473615538624,0.0002355841085588395,0.00454555298140491,0.0017084906263775679,0.002150865545395675,0.002419939175432262,0.033222033342305224,0.02865671289784899,0.030484919864719018,0.02965692734557024,0.016611410656189207,0.029985302117758295,0.04380415325008613,0.000726311920594469,0.0016554826018833069,0.0013599969784294785,0.0025026490469315377,0.0021059294994998368,0.33370825656899084,0.586813361929135
10200,0.004176033854072614,0.00034972088309359606,0.015352732605897756,0.014960397918862611,0.03601836086735233,0.004483226835560572,0.009288943065307365,0.004839245235096712,0.01469514371813574,0.004410806643043941,0.017333394376102262,0.583457118841018,0.04618187048694011,0.011199546131166471,0.00974385559048585,0.0019180055050753708,0.0015585682698286973,0.002858366853921268,0.04780347438086352,0.050735878470014484,0.026520787205292606,0.027275155050524802,0.02917000031089856,0.01045536504369693,0.053342960544554785,0.0016167456586160256,0.003892478024020818,0.0025855046708898044,0.0053379766546513,0.004138004149204733,0.559123023085421,0.6370783899209793
10500,0.010304894220702465,0.00041957258751779136,0.007801019161419731,0.019267434390933147,0.02480433162035922,0.0006077387998004724,0.0026484400421153964,0.002030492997292299,0.007162665132142365,0.00400372601611565,0.018230314062073205,0.29073688585335233,0.03379454669392601,0.0017365906719177815,7.194765002793702e-05,0.0013581103359214808,0.0014599338457443878,0.0016044865413746834,0.023459828208103772,0.021373881420046814,0.018857352715855313,0.020921285457774275,0.012240471171047318,0.019150824334140282,0.031762106983343585,0.0006223774148637062,0.0014732275126050354,0.0011223676257898774,0.00207666248731897,0.00169809046627023,0.27609279280015253,0.4286501735760547
10800,0.0033878914063905086,0.00034764970396850003,0.014808138508655588,0.018196421977862087,0.03415558757161108,0.002936406395406266,0.006039807651866624,0.004168756027702614,0.012969331703914122,0.004465143089355195,0.01842556481313551,0.5314652022761379,0.0435531580560351,0.010049352121242805,0.0064152177679304145,0.0017562782826416878,0.001584109171439252,0.002643794794799703,0.0436007747549354,0.041459125430733934,0.026240993834250048,0.026414550601245423,0.023697490185377035,0.010404686739256874,0.04970917742804204,0.001386426627213666,0.0034809244380511473,0.0022211477204479024,0.004442738630935139,0.0035600105606050647,0.5200688894807544,0.6271876936964539
11100,0.008478842860228042,0.0002905413625882147,0.008558140716637297,0.01640194211057633,0.022502192025982026,0.0005577779010721429,2.6455633253874566e-05,0.0022060555477096955,0.007551842378141771,0.003741760750564538,0.01681462983696491,0.26812017519798914,0.031940228922984204,0.0022714929741169954,0.000522523102084449,0.0011967734135751584,0.001331452959632884,0.0017590788532331203,0.026270087062719938,0.024277421324299553,0.01942050147026464,0.019127815884289134,0.014290715230700357,0.01688152680079469,0.03148921671548521,0.0007015575122508722,0.0016289261817732381,0.0012329746328205715,0.002339578308422574,0.0018576586026526343,0.26844176955474836,0.4026337667202566
11400,0.0051550591566496,0.00027402995114300666,0.007965062941117651,0.014188018780345146,0.02038659170018775,0.0003462901430992815,2.1052677602995118e-05,0.0020544819550494253,0.006820629435019043,0.0032359195203994773,0.014797754642316363,0.26566234002524425,0.02791093834910896,0.0030205615259291108,0.0006635783896840053,0.0010937195157794122,0.0011576109452988703,0.0015395392100998606,0.023510629527557114,0.020138233950532936,0.017215643953193194,0.017167386975266652,0.012036050866825576,0.013359697144501581,0.02805512673588595,0.000659447395221946,0.001571404821547162,0.0011312447933988778,0.0022049946088742445,0.0017192426934613536,0.2685800029567439,0.3798142001180537
11700,0.002929234560745897,0.0002735045360751087,0.009907814953287186,0.013834170962951475,0.02389082584662816,0.001480061879782113,0.0024251671658177543,0.002853003422274014,0.009145341061014278,0.0036295810740654133,0.016515891818130513,0.34656317919727186,0.03324059853432004,0.0051819700744530905,0.0028637910527464783,0.0013063314400909576,0.0012837686680100546,0.001971737968183618,0.030632718923975233,0.02929719400218289,0.02103435408822918,0.019924445416272363,0.016731101952764504,0.01377585752819499,0.0353528928357818,0.0009375127880204559,0.0022252641894482394,0.001555826514888281,0.003139223654265777,0.002409648446764834,0.34402716951542306,0.45020111679636243
12000,0.002871056702517194,0.0003323146271583255,0.010622236870652557,0.015992268931675824,0.02616103312761453,0.0014422484161258353,0.002423159592524371,0.0028797677714180736,0.009315209526349122,0.003797316331173306,0.015615616935285459,0.3685523479670465,0.03494379517619706,0.0054528872852515065,0.002972424021109532,0.0014045145519716584,0.0013605342729050562,0.0019609603918908647,0.03143200945530111,0.029540447558524363,0.020127305556322028,0.0209924225881295,0.017124057741249032,0.01307009497099898,0.03689698942933006,0.0009421471394830405,0.0022968462706671744,0.001568614187377193,0.003061135010831606,0.0024452848313245568,0.36569120857919635,0.47843406349253875
12300,0.009410334868356074,0.0004410590916847923,0.00983738458080552,0.019126621288727108,0.02701400360263051,9.829253210824618e-05,0.0009751555987165261,0.0025092463381426455,0.008546244732563935,0.004340250112790045,0.01839403872845935,0.3377015475226557,0.03742105247344085,0.0028775455720690957,0.000989202620104379,0.0015220904602628593,0.0015755175186953352,0.0018758890593346678,0.028810984895130787,0.026113036659907607,0.020651869517898547,0.0226821444804699,0.01536088384748524,0.01961026479732908,0.03580057577369189,0.0007917095479257341,0.0018375391888838521,0.00139591242613335,0.002678207846308567,0.002095542653002269,0.34714816701497375,0.5019881625761528
12600,0.0024811743656059093,0.00031221439740392043,0.011603739949109126,0.016264321114306313,0.02955150361560044,0.0020050333727752445,0.003426034854534521,0.0034570544165077877,0.010884833578806763,0.004138721344403962,0.019507015198627187,0.43211888929387143,0.039221710889989936,0.006629192139364193,0.004429179124421978,0.0015286192649242025,0.0014617261573022233,0.002309621320584654,0.03608006596128632,0.03717288463416679,0.02439271513553365,0.02381613307901631,0.021005337388530165,0.01372821050235018,0.04273530469089337,0.0011132710331125395,0.002665008540517988,0.0018151505202865792,0.0037298194051444966,0.002956297378162276,0.40248254573929293,0.5150584150467092
12900,0.01618860467290517,0.0005534432681741919,0.0076517441070507175,0.01991691981702104,0.027949282412670584,0.00048142535523254537,0.0029726510021035324,0.00229049451708363,0.008122691699526285,0.00456641760670351,0.019394616218761485,0.3130954481940833,0.03944109393164297,0.000292657638141236,0.0011374544439419765,0.0016696006009766506,0.001682952028652096,0.0017201830191808654,0.024987923698319037,0.027241712214838287,0.01928687455809097,0.02368519394305224,0.015621909732644212,0.02608750866286158,0.03455086206471947,0.0006933169481797563,0.001431047226091664,0.0013071651552891694,0.0025066653744119094,0.0018939425853119474,0.3026998153937295,0.4736916993196651
13200,0.014082834167425062,0.0002798265567633962,0.012872578912045185,0.007986463314516357,0.02832467944008954,0.004963063870647488,0.011540527456908478,0.0042246063831754554,0.012354410708546482,0.0025669764101152737,0.00545903366045053,0.5305671319195895,0.03248050319579221,0.012995741363134528,0.012689732769942452,0.0015382484956560916,0.0009296415131743174,0.0020678480002089827,0.03858168197864842,0.04066201858142904,0.015575229809719815,0.019002519297416143,0.02320717403792827,0.0014082499142205052,0.04182861763849388,0.0014720374643459877,0.0037346747583910656,0.0022791649035553974,0.00463660141805633,0.003614289499473955,0.5188093713539376,0.5130238847100125
13500,0.016474151674827908,0.0004162265698468559,0.004749464406749837,0.01780130109587219,0.020048460859896977,0.001639658359820828,0.005411346992630683,0.0012402249982770286,0.004961470313041616,0.003727952330756068,0.01805990686955994,0.18148007958900791,0.029507363991697844,0.0018918680624153694,0.0023152596660551694,0.0011663597736770726,0.0013664474012955452,0.001224527690595778,0.015694432214289122,0.015894159827979593,0.01606394444286252,0.018162549941976636,0.008774323672049889,0.023428273140616795,0.02415521622847905,0.0003362123225514324,0.0006272844551489243,0.0007138580019372398,0.0013012787306792006,0.0010071740404882235,0.16921864847195311,0.33274656804577846
